# english	es-ES
Sample Output	Salida de muestra
Save	Guardar
Save TTS audio to file	Guardar audio de TTS en archivo
Say Everything	Decirlo todo
Say Username	Decir nombre de usuario
Say input	Decir entrada
Services	Servicios
Settings	Configuración
SevenTV	SevenTV
Silence Command Output	Silenciar salida de comandos
Speak Generic	Hablar genérico
Speak!	¡Hablar!
Speaker.bot - Speaker.bot (0.1.7)	Speaker.bot - Bot de voz (0.1.7)
Speaker.bot Instance Information	Información de instancia de Speaker.bot
Speaking Options	Opciones de voz
Speech Engines	Motores de voz
Speech will be played on the device selected	La voz se reproducirá en el dispositivo seleccionado
Start	Iniciar
Start Server	Iniciar servidor
Sticky Random Voice	Voz aleatoria fija
Stop Server	Detener servidor
Stop and Skip spoken messages on	Detener y omitir mensajes hablados en
StreamElements	StreamElements
Streamer.bot Website	Sitio web de Streamer.bot
Streamlabs	Streamlabs
Subscribed	Suscrito
Subscribers	Suscriptores
Subscriptions	Suscripciones
TTS Speaking Commands	Comandos de voz TTS
Test Speak	Probar voz
These settings require a restart after changing.	Estos ajustes requieren reiniciar después de cambiarlos.
Twitch	Twitch
Twitch Account	Cuenta de Twitch
Twitch Shared Chat	Chat compartido de Twitch
Url Filter	Filtro de URL
User Banned	Usuario baneado
User Information	Información de usuario
User Said Postfix	Sufijo de mensaje de usuario
User Timed Out	Usuario con timeout
Username	Nombre de usuario
Users	Usuarios
VIPs	VIP
Voice	Voz
Voice Alias	Alias de voz
Voice Aliases	Aliases de voz
Voice Gate	Puerta de voz
Voices and locales set here will be excluded from random voice selection	Las voces y locales establecidos aquí se excluirán de la selección aleatoria de voz
Volume	Volumen
Websocket Server	Servidor WebSocket
Weight	Peso
With	Con:
ms	ms
seconds	segundos
