# english	ja-JP
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - 変更の種類（変更、作成、削除）
%counter% - Global usage counter for reward	%counter% - リワードのグローバル使用カウンター
%empty% - If the file is now empty	%empty% - ファイルが空になったかどうか
%fileName% - The file name with extension	%fileName% - 拡張子付きのファイル名
%fullPath% - The full path to the file	%fullPath% - ファイルのフルパス
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - ファイルの特定の行（0ベース、0が最初の行）
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - URLクエリ用にエスケープされた行
%lines% - The number of lines in the file	%lines% - ファイルの行数
%randomUser0% - Random active user's display name	%randomUser0% - ランダムなアクティブユーザーの表示名
%randomUser1% - Random active user's display name	%randomUser1% - ランダムなアクティブユーザーの表示名
%randomUserName0% - Random active user's login name	%randomUserName0% - ランダムなアクティブユーザーのログイン名
%randomUserName1% - Random active user's login name	%randomUserName1% - ランダムなアクティブユーザーのログイン名
%rawInput% - UNSANITIZED input from redemption	%rawInput% - リデンプションからの未サニタイズ入力
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - タイムアウトしたユーザーの表示名
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - タイムアウトしたユーザーのログイン名
%user% - Display name of User who used reward	%user% - リワードを使用したユーザーの表示名
%userCounter% - Usage counter for user who used reward	%userCounter% - リワードを使用したユーザーの使用カウンター
%userName% - Login of user who used reward	%userName% - リワードを使用したユーザーのログイン名
Create, edit, and remove Voice Control Commands	音声コントロールコマンドを作成、編集、削除
Create, edit, and remove your MIDI Input associations and events	MIDI 入力の関連付けとイベントを作成、編集、削除
Created At	作成日時
Created At:	作成日時：
Created by nate1280	nate1280 によって作成
Created by: nate1280	作成者：nate1280
Creators and mods can create predictions. Viewers who guess the outcome correctly can win Channel Points. All predictions must follow Twitch's	クリエイターとモデレーターは予測を作成できます。結果を正しく当てた視聴者はチャンネルポイントを獲得できます。すべての予測は Twitch のルールに従う必要があります。
Cumulative Sub Range	累計サブ範囲
Current Scene	現在のシーン
Custom Power-Ups	カスタムパワーアップ
Custom WebSocket Clients	カスタム WebSocket クライアント
Custom WebSocket Servers	カスタム WebSocket サーバー
Custom Webhook	カスタム Webhook
Custom Websocket Clients	カスタム WebSocket クライアント
Custom Websocket Servers	カスタム WebSocket サーバー
Dark Mode	ダークモード
Date/Time	日付/時刻
Dedicated to the loving memory of my mother.	母の愛する記憶に捧げます。
Default Tags	デフォルトタグ
Default Value	デフォルト値
Default settings to apply to new Actions	新しいアクションに適用するデフォルト設定
Default settings to apply to new Commands	新しいコマンドに適用するデフォルト設定
Default settings to apply to new Switch Case groupings	新しい Switch ケースグループに適用するデフォルト設定
Defaults	デフォルト
Defaults to 5 minutes to balance accuracy and performance	精度とパフォーマンスのバランスのため、デフォルトは5分
Delayed Start	遅延開始
Delete All	すべて削除
Delete All Variables	すべての変数を削除
Delete Filtered Variables	フィルタリングされた変数を削除
Destination	宛先
Destination Slot	宛先スロット
Destination Variable	宛先変数
Device Name	デバイス名
Disable Capturing of Variable Viewer Window	変数ビューアーウィンドウのキャプチャを無効化
Disable not configured rewards	未設定のリワードを無効化
Disable the tracking of Actions to reclaim performance	パフォーマンスを回復するためにアクションの追跡を無効化
Discord	Discord
Do not show Streamer.bot's splash screen when starting	起動時に Streamer.bot のスプラッシュ画面を表示しない
Documentation	ドキュメント
Don't Show Again	今後表示しない
Duplicate Sub-Action Location	サブアクションの複製先
Duration can contain either a specific value between 5 and 60 (inclusive), or a %variable% that will be parsed.  This is in seconds, and if left blank, the default is 30s.	Duration には5〜60（両端含む）の特定の値か、パースされる %variable% を指定できます。単位は秒で、空の場合はデフォルト30秒です。
Duration can either be a number (in minutes between 0 and 129,600), or a %variable% that will be parsed.	Duration には数値（0〜129,600分）か、パースされる %variable% を指定できます。
Duration can either be a number (in seconds), or a %variable% that will be parsed.	Duration には数値（秒）か、パースされる %variable% を指定できます。
Duration support parsing.  Duration can either be empty, which means the Pinned Message would last until the stream ends, or it must be, or parse to a value between 30 and 1800.	Duration はパースに対応しています。空（ピン留めメッセージが配信終了まで続く）か、30〜1800 の値に設定またはパースされる必要があります。
Duration, defaults to 60 if empty or unable to parse	Duration。空またはパースできない場合はデフォルト60
Dynamic Range	ダイナミックレンジ
Editor Settings	エディター設定
Elgato CameraHub is Not Connected!	Elgato CameraHub が接続されていません！
Elgato Stream Deck instances that are currently connected	現在接続されている Elgato Stream Deck インスタンス
Elgato StreamDeck MCP is Not Connected!	Elgato StreamDeck MCP が接続されていません！
Elgato WaveLink is Not Connected!	Elgato WaveLink が接続されていません！
Emote Handlers	絵文字ハンドラー
Enable Compression	圧縮を有効化
Enable automatic roll over once the subsction count reaches a set number	サブ数が設定した数に達したら自動ロールオーバーを有効化
Enable integrations beyond the UI with Streamer.bot's build in WebSocket server.	Streamer.bot に組み込まれた WebSocket サーバーで UI 以外の統合を有効化。
Enable or disable the viewers tab to reclaim performance	パフォーマンスを回復するためにビューアータブを有効/無効化
Enable receving events from StreamElements.	StreamElements からのイベント受信を有効化。
Enable receving events from Streamlabs.	Streamlabs からのイベント受信を有効化。
Enable the Sub Counter for tracking of subscriptions and rollovers	サブスクリプションとロールオーバーの追跡のためにサブカウンターを有効化
Enabled	有効
Enabled Sub-Actions	有効なサブアクション
Enabled Triggers	有効なトリガー
Enter a unique Action name...	一意のアクション名を入力...
Enter a unique queue name...	一意のキュー名を入力...
Enter the IP address Speaker.bot's WebSocket server is running on, '127.0.0.1'	Speaker.bot の WebSocket サーバーが実行されている IP アドレスを入力。例：'127.0.0.1'
Enter the IP address for this server to bind to. For example, '127.0.0.1'	このサーバーがバインドする IP アドレスを入力。例：'127.0.0.1'
Enter the IP address to connect to. For example, '127.0.0.1'	接続先の IP アドレスを入力。例：'127.0.0.1'
Enter the endpoint to listen to for the connection.  Defaults to '/'	接続のリスンエンドポイントを入力。デフォルトは '/'
Enter the port Speaker.bot's WebSocket server is running on. Defaults to 7580	Speaker.bot の WebSocket サーバーが実行されているポートを入力。デフォルト7580
Enter the port to use for server connection. Defaults to 4242	サーバー接続に使用するポートを入力。デフォルト4242
Enter the port to use for server connection. Defaults to 7474	サーバー接続に使用するポートを入力。デフォルト7474
Enter the port to use for server connection. Defaults to 8059	サーバー接続に使用するポートを入力。デフォルト8059
Enter the port to use for server connection. Defaults to 8080	サーバー接続に使用するポートを入力。デフォルト8080
Enter the port to use for server connection. Defaults to 9652	サーバー接続に使用するポートを入力。デフォルト9652
Enter the port to use for the connection. Defaults to 42069	接続に使用するポートを入力。デフォルト42069
Environment Variables	環境変数
Event Feed	イベントフィード
Event Name	イベント名
EventSub Client	EventSub クライアント
Events Client	イベントクライアント
Events to Record	記録するイベント
Exchange Source	ソースを交換
Exclude all commands from import	インポートからすべてのコマンドを除外
Exclude all from Import	インポートからすべて除外
Exclude all timed actions from import	インポートからすべてのタイマーアクションを除外
Exclude all websocket clients from import	インポートからすべての WebSocket クライアントを除外
Exclude all websocket servers from import	インポートからすべての WebSocket サーバーを除外
Exclude from Action Queue/History	アクションキュー/履歴から除外
Execute C# Code	C# コードを実行
Execute C# Code Editor	C# コードエディターを実行
Expand All	すべて展開
Explore the official documentation for Streamer.bot	Streamer.bot の公式ドキュメントを参照
Export	エクスポート
Export Version	エクスポートバージョン
Export to Clipboard	クリップボードにエクスポート
Export to File	ファイルにエクスポート
Expression	式
Fade Time	フェード時間
Fallback to Broadcaster	Broadcaster にフォールバック
File Path	ファイルパス
File Tail	ファイルテール
File Tails	ファイルテール
File to Check if Exists	存在を確認するファイル
File to Read From	読み取るファイル
File to Write To	書き込むファイル
File/Folder Watcher	ファイル/フォルダーウォッチャー
Filter	フィルター
Filter Type	フィルタータイプ
Filter...	フィルター...
Find Refs	参照を検索
Finish playing before continuing	再生が終わってから続行
First Words	最初の言葉
Folder containing *.mp3 and *.wav	*.mp3 と *.wav を含むフォルダー
Folder mappings for serving local files	ローカルファイルを配信するためのフォルダーマッピング
Folder to Check if Exists	存在を確認するフォルダー
Font Family	フォントファミリー
Font Size	フォントサイズ
For readability, consider using camelCasing or PascalCasing.	読みやすさのため、camelCasing または PascalCasing の使用を検討してください。
Forget	忘れる
Forget Account	アカウントを忘れる
Forget any saved credentials for Pulsoid	Pulsoid の保存済み認証情報を忘れる
Forget any saved credentials for TipeeeStream	TipeeeStream の保存済み認証情報を忘れる
Forget any saved credentials for VTubeStudio	VTubeStudio の保存済み認証情報を忘れる
Forget this account?	このアカウントを忘れますか？
Format Document	ドキュメントを整形
Found {0} videos	{0} 個の動画が見つかりました
GCD	GCD
Gain early access to new features and updates before they are released to the public.	一般公開前に新機能とアップデートへの早期アクセスを獲得。
Game Only	ゲームのみ
General Settings	一般設定
Generate a new Instance Id for this instance of Streamer.bot	この Streamer.bot インスタンスに新しいインスタンス ID を生成
Gift Bombs	ギフトボム
Gift Sub Count Range	ギフトサブ数の範囲
Global Cooldown	グローバルクールダウン
Global Variables	グローバル変数
Grant Type	付与タイプ
