# english	es-ES
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - El tipo de cambio (Cambiado, Creado, Eliminado)
%counter% - Global usage counter for reward	%counter% - Contador global de uso de la recompensa
%empty% - If the file is now empty	%empty% - Si el archivo ahora está vacío
%fileName% - The file name with extension	%fileName% - El nombre del archivo con extensión
%fullPath% - The full path to the file	%fullPath% - La ruta completa del archivo
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - La línea específica del archivo, índice basado en 0, 0 es la primera línea
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - La línea escapada para usar en una consulta de URL
%lines% - The number of lines in the file	%lines% - El número de líneas en el archivo
%randomUser0% - Random active user's display name	%randomUser0% - Nombre para mostrar de un usuario activo aleatorio
%randomUser1% - Random active user's display name	%randomUser1% - Nombre para mostrar de un usuario activo aleatorio
%randomUserName0% - Random active user's login name	%randomUserName0% - Nombre de inicio de sesión de un usuario activo aleatorio
%randomUserName1% - Random active user's login name	%randomUserName1% - Nombre de inicio de sesión de un usuario activo aleatorio
%rawInput% - UNSANITIZED input from redemption	%rawInput% - Entrada NO DEPURADA del canje
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - Nombre para mostrar del usuario con timeout
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - Nombre de inicio de sesión del usuario con timeout
%user% - Display name of User who used reward	%user% - Nombre para mostrar del usuario que usó la recompensa
%userCounter% - Usage counter for user who used reward	%userCounter% - Contador de uso del usuario que usó la recompensa
%userName% - Login of user who used reward	%userName% - Inicio de sesión del usuario que usó la recompensa
By default, timed actions will repeat, you can have them only trigger once, by unticking repeat, and it will trigger after being enabled	Por defecto, las acciones temporizadas se repiten; puedes hacer que solo se disparen una vez desmarcando repetir, y se dispararán después de habilitarse
C# Compile Settings	Configuración de compilación de C#
C# Compiler	Compilador de C#
Camera does not support Noise Reduction!	¡La cámara no admite reducción de ruido!
Cancel Login	Cancelar inicio de sesión
Capture Key	Capturar tecla
Capture Model Position	Capturar posición del modelo
Case Sensitive	Sensible a mayúsculas
Case Values	Valores de caso
Category Name	Nombre de la categoría
Change VoiceMod settings on the fly, or voices	Cambiar la configuración de VoiceMod sobre la marcha, o las voces
Change backup settings, and force backup creation	Cambiar la configuración de copias de seguridad y forzar la creación de copias
Change settings.	Cambiar configuración.
Changed only Values	Solo valores cambiados
Changing enabled Sub-Actions requires a restart of Streamer.bot	Cambiar las subacciones habilitadas requiere reiniciar Streamer.bot
Changing enabled Triggers requires a restart of Streamer.bot	Cambiar los disparadores habilitados requiere reiniciar Streamer.bot
Changing the log folder requires a restart of Streamer.bot	Cambiar la carpeta de registros requiere reiniciar Streamer.bot
Changing these settings requires a restart of Streamer.bot	Cambiar estos ajustes requiere reiniciar Streamer.bot
Channel Point Rewards	Recompensas de puntos de canal
Channel Points Per Vote	Puntos de canal por voto
Channel Points Per Vote, leave empty or set to 0 to disable	Puntos de canal por voto, deja vacío o pon 0 para deshabilitar
Channel Points Spent	Puntos de canal gastados
Chapter Name	Nombre del capítulo
Chapter name supports %variables%.	El nombre del capítulo admite %variables%.
Chat	Chat
Chat Client	Cliente de chat
Chatters will receive a temporary chat badge indicating the option they voted for until the prediction ends.	Los usuarios del chat recibirán una insignia temporal que indica la opción por la que votaron hasta que termine la predicción.
Check for Updates	Buscar actualizaciones
Checking this will make your value be auto typed, and has no effect on increment or decrement source	Marcar esto hará que tu valor se escriba automáticamente y no tiene efecto en la fuente de incremento o decremento
Choices (Minimum of 2, maximum of 5)	Opciones (mínimo 2, máximo 5)
Choose a custom default color to use for the Comment Sub-Action	Elige un color predeterminado personalizado para usar en la subacción de comentario
Choose the color to use when a Sub-Action is disabled	Elige el color a usar cuando una subacción está deshabilitada
Choose what MIDI pages to show	Elige qué páginas MIDI mostrar
Choose what Server/Client pages to show	Elige qué páginas de servidor/cliente mostrar
Choose what Voice Control pages to show	Elige qué páginas de control por voz mostrar
Choose what platforms to show	Elige qué plataformas mostrar
Choose what services to show	Elige qué servicios mostrar
Choose what streaming applications to show	Elige qué aplicaciones de transmisión mostrar
Clear History	Borrar historial
Clear Queue	Vaciar cola
Clear User	Borrar usuario
Clear the cache on startup if the time since last startup exceeds the given interval	Borrar la caché al inicio si el tiempo desde el último inicio supera el intervalo dado
Click the button above to select a category.	Haz clic en el botón de arriba para seleccionar una categoría.
Click the button above to select a game, leave it empty to have your game category empty.	Haz clic en el botón de arriba para seleccionar un juego; déjalo vacío para tener tu categoría de juego vacía.
Clicking export will export your selected Actions, Queues, Commands, Timed Actions, Websocket Servers and Websocket Clients to your clipboard, and you can share them everywhere.	Al hacer clic en exportar se exportarán tus acciones, colas, comandos, acciones temporizadas, servidores WebSocket y clientes WebSocket seleccionados al portapapeles, y podrás compartirlos en cualquier lugar.
Clients that are currently connected	Clientes actualmente conectados
Clip ID	ID del clip
Clip Title	Título del clip
Cloud Backups	Copias de seguridad en la nube
Cloud Backups are a supporter perk, and require you to be subscribed at the	Las copias de seguridad en la nube son un beneficio de seguidores y requieren que estés suscrito al
Coin Type	Tipo de moneda
Collapse All	Contraer todo
Command	Comando
Command Type	Tipo de comando
Command(s)	Comando(s)
Commands	Comandos
Commands ({0})	Comandos ({0})
Comment Color	Color del comentario
Common References	Referencias comunes
Compiling Log	Registro de compilación
Completed At	Completado en
Completed Count	Conteo completado
Confidence Threshold	Umbral de confianza
Configure Twitch Sub Counter integration settings	Configurar los ajustes de integración del contador de suscripciones de Twitch
Configure actions, queues and view action history	Configurar acciones, colas y ver el historial de acciones
Configure default options when creating new Actions, Commands and other	Configurar opciones predeterminadas al crear nuevas acciones, comandos y otros
Configure options for the Credits service	Configurar opciones para el servicio de créditos
Configure the default audio output device Streamer.bot uses	Configurar el dispositivo de salida de audio predeterminado que usa Streamer.bot
Configure the device to use for speech recognition	Configurar el dispositivo a usar para el reconocimiento de voz
Configure the first words cache	Configurar la caché de primeras palabras
Configure third party emote handling, changing these requires a restart	Configurar el manejo de emoticonos de terceros; cambiarlos requiere reiniciar
Configure your streaming application settings	Configurar los ajustes de tu aplicación de transmisión
Configuring Elgato CameraHub	Configurando Elgato CameraHub
Configuring Elgato WaveLink	Configurando Elgato WaveLink
Configuring HTTP Server	Configurando el servidor HTTP
Configuring Twitch	Configurando Twitch
Configuring Voice Control	Configurando el control por voz
Connect a bot account to send messages with a different user	Conecta una cuenta de bot para enviar mensajes con un usuario diferente
Connect to enable Ko-fi, Patreon, FourthWall and more!	¡Conéctate para habilitar Ko-fi, Patreon, FourthWall y más!
Connect your Stream Deck for even more power!	¡Conecta tu Stream Deck para aún más poder!
Connect your StreamElements account to receive events	Conecta tu cuenta de StreamElements para recibir eventos
Connect your Streamer.bot account	Conecta tu cuenta de Streamer.bot
Connect your Streamlabs account to receive events	Conecta tu cuenta de Streamlabs para recibir eventos
Connect your TreatStream account to receive events	Conecta tu cuenta de TreatStream para recibir eventos
Connect your streaming account for core functionality	Conecta tu cuenta de transmisión para la funcionalidad principal
Connected	Conectado
Connected Clients	Clientes conectados
Connecting...	Conectando...
Connection Status	Estado de la conexión
Control your Elgato Camera or Prompter.	Controla tu cámara o teleprompter de Elgato.
Control your Elgato Microphone.	Controla tu micrófono de Elgato.
Control your lights through LumiaStream, and receive events.	Controla tus luces a través de LumiaStream y recibe eventos.
Cooldown	Enfriamiento
Copy All Variable Names	Copiar todos los nombres de variables
Copy All Video Urls to Clipboard	Copiar todas las URL de videos al portapapeles
Copy As Text Table	Copiar como tabla de texto
Copy Login Link	Copiar enlace de inicio de sesión
Copy all to clipboard	Copiar todo al portapapeles
Copy and paste your API Key in this field	Copia y pega tu clave de API en este campo
Copy and paste your Alerts Widget URL in this field	Copia y pega la URL de tu widget de alertas en este campo
Copy and paste your Overlay URL in this field	Copia y pega la URL de tu superposición en este campo
Copy and paste your remote key in this field	Copia y pega tu clave remota en este campo
Copy and paste your token in this field	Copia y pega tu token en este campo
Count	Conteo
Create Backup	Crear copia de seguridad
Create Cloud Backup	Crear copia de seguridad en la nube
Create Custom Server	Crear servidor personalizado
Create DonorDrive	Crear DonorDrive
Create File Tail	Crear seguimiento de archivo
Create File Watcher	Crear vigilante de archivos
Create Midi Event	Crear evento MIDI
Create Reward	Crear recompensa
Create Timer	Crear temporizador
Create Websocket Client	Crear cliente WebSocket
Create a New Poll	Crear una nueva encuesta
Create a backup and upload it to your cloud storage	Crear una copia de seguridad y subirla a tu almacenamiento en la nube
Create folder/file watchers to react to file changes	Crear vigilantes de carpetas/archivos para reaccionar a los cambios de archivos
Create your own WebSocket Servers and manage them from within C#	Crea tus propios servidores WebSocket y adminístralos desde C#
Create your own connections to WebSocket Servers and control them from within C#	Crea tus propias conexiones a servidores WebSocket y contrólalas desde C#
Create, edit and remove your output MIDI device associations	Crear, editar y eliminar tus asociaciones de dispositivos MIDI de salida
Create, edit, and remove Voice Control Commands	Crear, editar y eliminar comandos de control por voz
Create, edit, and remove your MIDI Input associations and events	Crear, editar y eliminar tus asociaciones y eventos de entrada MIDI
Created At	Creado en
Created At:	Creado en:
Created by nate1280	Creado por nate1280
Created by: nate1280	Creado por: nate1280
Creators and mods can create predictions. Viewers who guess the outcome correctly can win Channel Points. All predictions must follow Twitch's	Los creadores y moderadores pueden crear predicciones. Los espectadores que acierten el resultado pueden ganar puntos de canal. Todas las predicciones deben seguir las
Cumulative Sub Range	Rango de suscripciones acumuladas
Current Scene	Escena actual
Custom Power-Ups	Potenciadores personalizados
Custom WebSocket Clients	Clientes WebSocket personalizados
Custom WebSocket Servers	Servidores WebSocket personalizados
Custom Webhook	Webhook personalizado
Custom Websocket Clients	Clientes WebSocket personalizados
Custom Websocket Servers	Servidores WebSocket personalizados
Dark Mode	Modo oscuro
Date/Time	Fecha/Hora
Dedicated to the loving memory of my mother.	Dedicado a la amorosa memoria de mi madre.
Default Tags	Etiquetas predeterminadas
Default Value	Valor predeterminado
Default settings to apply to new Actions	Configuración predeterminada para aplicar a nuevas acciones
Default settings to apply to new Commands	Configuración predeterminada para aplicar a nuevos comandos
Default settings to apply to new Switch Case groupings	Configuración predeterminada para aplicar a nuevos agrupamientos de casos de Switch
Defaults	Valores predeterminados
Defaults to 5 minutes to balance accuracy and performance	El valor predeterminado es 5 minutos para equilibrar precisión y rendimiento
Delayed Start	Inicio retrasado
Delete All	Eliminar todo
Delete All Variables	Eliminar todas las variables
Delete Filtered Variables	Eliminar variables filtradas
Destination	Destino
Destination Slot	Ranura de destino
Destination Variable	Variable de destino
Device Name	Nombre del dispositivo
Disable Capturing of Variable Viewer Window	Deshabilitar la captura de la ventana del visor de variables
Disable not configured rewards	Deshabilitar recompensas no configuradas
Disable the tracking of Actions to reclaim performance	Deshabilitar el seguimiento de acciones para recuperar rendimiento
Discord	Discord
Do not show Streamer.bot's splash screen when starting	No mostrar la pantalla de inicio de Streamer.bot al iniciar
Documentation	Documentación
Don't Show Again	No mostrar de nuevo
Duplicate Sub-Action Location	Ubicación de subacción duplicada
Duration can contain either a specific value between 5 and 60 (inclusive), or a %variable% that will be parsed.  This is in seconds, and if left blank, the default is 30s.	La duración puede contener un valor específico entre 5 y 60 (inclusive) o un %variable% que se analizará. Esto está en segundos y, si se deja en blanco, el valor predeterminado es 30 s.
Duration can either be a number (in minutes between 0 and 129,600), or a %variable% that will be parsed.	La duración puede ser un número (en minutos entre 0 y 129,600) o un %variable% que se analizará.
Duration can either be a number (in seconds), or a %variable% that will be parsed.	La duración puede ser un número (en segundos) o un %variable% que se analizará.
Duration support parsing.  Duration can either be empty, which means the Pinned Message would last until the stream ends, or it must be, or parse to a value between 30 and 1800.	La duración admite análisis. Puede estar vacía, lo que significa que el mensaje fijado duraría hasta que termine la transmisión, o debe ser o analizarse a un valor entre 30 y 1800.
Duration, defaults to 60 if empty or unable to parse	Duración, 60 por defecto si está vacía o no se puede analizar
Dynamic Range	Rango dinámico
Editor Settings	Configuración del editor
Elgato CameraHub is Not Connected!	¡Elgato CameraHub no está conectado!
Elgato Stream Deck instances that are currently connected	Instancias de Elgato Stream Deck actualmente conectadas
Elgato StreamDeck MCP is Not Connected!	¡Elgato StreamDeck MCP no está conectado!
Elgato WaveLink is Not Connected!	¡Elgato WaveLink no está conectado!
Emote Handlers	Manejadores de emoticonos
Enable Compression	Habilitar compresión
Enable automatic roll over once the subsction count reaches a set number	Habilitar el traspaso automático cuando el conteo de suscripciones alcance un número establecido
Enable integrations beyond the UI with Streamer.bot's build in WebSocket server.	Habilita integraciones más allá de la interfaz con el servidor WebSocket integrado de Streamer.bot.
Enable or disable the viewers tab to reclaim performance	Habilita o deshabilita la pestaña de espectadores para recuperar rendimiento
Enable receving events from StreamElements.	Habilitar la recepción de eventos de StreamElements.
Enable receving events from Streamlabs.	Habilitar la recepción de eventos de Streamlabs.
Enable the Sub Counter for tracking of subscriptions and rollovers	Habilitar el contador de suscripciones para el seguimiento de suscripciones y traspasos
Enabled	Habilitado
Enabled Sub-Actions	Subacciones habilitadas
Enabled Triggers	Disparadores habilitados
Enter a unique Action name...	Ingresa un nombre de acción único...
Enter a unique queue name...	Ingresa un nombre de cola único...
Enter the IP address Speaker.bot's WebSocket server is running on, '127.0.0.1'	Ingresa la dirección IP en la que se ejecuta el servidor WebSocket de Speaker.bot, '127.0.0.1'
Enter the IP address for this server to bind to. For example, '127.0.0.1'	Ingresa la dirección IP a la que este servidor se vinculará. Por ejemplo, '127.0.0.1'
Enter the IP address to connect to. For example, '127.0.0.1'	Ingresa la dirección IP a la que conectarte. Por ejemplo, '127.0.0.1'
Enter the endpoint to listen to for the connection.  Defaults to '/'	Ingresa el punto de conexión a escuchar para la conexión. El valor predeterminado es '/'
Enter the port Speaker.bot's WebSocket server is running on. Defaults to 7580	Ingresa el puerto en el que se ejecuta el servidor WebSocket de Speaker.bot. El valor predeterminado es 7580
Enter the port to use for server connection. Defaults to 4242	Ingresa el puerto a usar para la conexión del servidor. El valor predeterminado es 4242
Enter the port to use for server connection. Defaults to 7474	Ingresa el puerto a usar para la conexión del servidor. El valor predeterminado es 7474
Enter the port to use for server connection. Defaults to 8059	Ingresa el puerto a usar para la conexión del servidor. El valor predeterminado es 8059
Enter the port to use for server connection. Defaults to 8080	Ingresa el puerto a usar para la conexión del servidor. El valor predeterminado es 8080
Enter the port to use for server connection. Defaults to 9652	Ingresa el puerto a usar para la conexión del servidor. El valor predeterminado es 9652
Enter the port to use for the connection. Defaults to 42069	Ingresa el puerto a usar para la conexión. El valor predeterminado es 42069
Environment Variables	Variables de entorno
