# english	ko-KR
Speak Generic	일반 읽기
Speak!	읽기!
Speaker.bot - Speaker.bot (0.1.7)	Speaker.bot - 음성 봇 (0.1.7)
Speaker.bot Instance Information	Speaker.bot 인스턴스 정보
Speaking Options	읽기 옵션
Speech Engines	음성 엔진
Speech will be played on the device selected	음성이 선택한 장치에서 재생됩니다
Start	시작
Start Server	서버 시작
Sticky Random Voice	고정 랜덤 음성
Stop Server	서버 중지
Stop and Skip spoken messages on	다음 경우에 읽기 메시지 중지 및 건너뛰기:
StreamElements	StreamElements
Streamer.bot Website	Streamer.bot 웹사이트
Streamlabs	Streamlabs
Subscribed	구독됨
Subscribers	구독자
Subscriptions	구독
TTS Speaking Commands	TTS 읽기 명령
Test Speak	읽기 테스트
These settings require a restart after changing.	이 설정은 변경 후 재시작이 필요합니다.
Twitch	Twitch
Twitch Account	Twitch 계정
Twitch Shared Chat	Twitch 공유 채팅
Url Filter	URL 필터
User Banned	사용자 차단됨
User Information	사용자 정보
User Said Postfix	사용자 발화 접미사
User Timed Out	사용자 타임아웃
Username	사용자 이름
Users	사용자
VIPs	VIP
Voice	음성
Voice Alias	음성 별칭
Voice Aliases	음성 별칭
Voice Gate	음성 게이트
Voices and locales set here will be excluded from random voice selection	여기서 설정한 음성과 로케일은 랜덤 음성 선택에서 제외됩니다
Volume	볼륨
Websocket Server	WebSocket 서버
Weight	가중치
With	함께:
ms	ms
seconds	초
