# english	ja-JP
Speaker.bot - Speaker.bot (0.1.7)	Speaker.bot - 読み上げボット（0.1.7）
Speaker.bot Instance Information	Speaker.bot インスタンス情報
Speaking Options	読み上げオプション
Speech Engines	音声エンジン
Speech will be played on the device selected	音声は選択したデバイスで再生されます
Start	開始
Start Server	サーバーを開始
Sticky Random Voice	スティッキーランダム音声
Stop Server	サーバーを停止
Stop and Skip spoken messages on	次の場合に読み上げメッセージを停止・スキップ：
StreamElements	StreamElements
Streamer.bot Website	Streamer.bot ウェブサイト
Streamlabs	Streamlabs
Subscribed	購読中
Subscribers	購読者
Subscriptions	サブスクリプション
TTS Speaking Commands	TTS 読み上げコマンド
Test Speak	読み上げテスト
These settings require a restart after changing.	これらの設定は変更後に再起動が必要です。
Twitch	Twitch
Twitch Account	Twitch アカウント
Twitch Shared Chat	Twitch 共有チャット
Url Filter	URL フィルター
User Banned	ユーザー BAN
User Information	ユーザー情報
User Said Postfix	ユーザー発言の接尾辞
User Timed Out	ユーザータイムアウト
Username	ユーザー名
Users	ユーザー
VIPs	VIP
Voice	音声
Voice Alias	音声エイリアス
Voice Aliases	音声エイリアス
Voice Gate	音声ゲート
Voices and locales set here will be excluded from random voice selection	ここで設定した音声とロケールはランダム音声選択から除外されます
Volume	音量
Websocket Server	WebSocket サーバー
Weight	重み
With	と：
ms	ms
seconds	秒
