# english	chinese
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - 变更的类型（Changed、Created、Deleted）
%counter% - Global usage counter for reward	%counter% - 奖励的全局使用计数器
%empty% - If the file is now empty	%empty% - 文件现在是否为空
%fileName% - The file name with extension	%fileName% - 带扩展名的文件名
%fullPath% - The full path to the file	%fullPath% - 文件的完整路径
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - 文件的特定行，从 0 开始的索引，0 为第一行
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - 已转义用于 URL 查询的行
%lines% - The number of lines in the file	%lines% - 文件的行数
%randomUser0% - Random active user's display name	%randomUser0% - 随机活跃用户的显示名称
%randomUser1% - Random active user's display name	%randomUser1% - 随机活跃用户的显示名称
%randomUserName0% - Random active user's login name	%randomUserName0% - 随机活跃用户的登录名
%randomUserName1% - Random active user's login name	%randomUserName1% - 随机活跃用户的登录名
%rawInput% - UNSANITIZED input from redemption	%rawInput% - 来自兑换的未净化输入
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - 被超时用户的显示名称
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - 被超时用户的登录名
%user% - Display name of User who used reward	%user% - 使用奖励的用户的显示名称
%userCounter% - Usage counter for user who used reward	%userCounter% - 使用奖励的用户的计数器
%userName% - Login of user who used reward	%userName% - 使用奖励的用户的登录名
A very special thanks to the following people who believed in me and this project.	特别感谢以下相信我和这个项目的人。
API Key	API 密钥
AR Lens	AR 镜头
About	关于
Account Settings	账户设置
Action History	动作历史
Actions	动作
Actions & Queues	动作与队列
Actions ({0})	动作（{0}）
Add Changed Data	添加变更数据
Add Connection	添加连接
Add Group	添加分组
Add Multiple Twitch Users to Group	将多个 Twitch 用户添加到分组
Add Results to Arguments	将结果添加到参数
Add User	添加用户
Add User to	添加到用户：
Add Users	添加用户
Add Variable	添加变量
Add a Command in a Group!	在分组中添加命令！
Add a Command!	添加命令！
Add a Deck!	添加按键！
Add a Group!	添加分组！
Add a Kick Reward!	添加 Kick 奖励！
Add a Timer!	添加计时器！
Add a Twitch Reward!	添加 Twitch 奖励！
Add a Voice Control Command!	添加语音控制命令！
Add a random number into arguments, use for percentages, or anything else.	向参数中添加一个随机数，可用于百分比或其他用途。
Add an Action in a Group!	在分组中添加动作！
Add common C# reference	添加常用 C# 引用
Add reference from file...	从文件添加引用…
Add the specified number of random users to the arguments, this will provide a unique number of users filterd by their present status and that have been seen by Streamer.bot.	将指定数量的随机用户添加到参数中，这将以在场状态为依据筛选出一定数量的唯一用户，并且这些用户已被 Streamer.bot 见过。
Add your HypeRate ID (CaSe SenSITiVe!!!!)	添加你的 HypeRate ID（区分大小写！！！！）
Add your SubActions to either of these groups to perform actions based on the result of this expression.	将你的子动作添加到这两个分组中的任一组，即可根据此表达式的结果执行动作。
Add, edit and delete user groups	添加、编辑和删除用户分组
Add, edit and manage Streamlabs Desktop instances	添加、编辑和管理 Streamlabs Desktop 实例
Adding multiple Get Quotes will overwrite each previous one	添加多个“获取引文”会覆盖之前的每一个
Adds the present user at the index specified.  Index can also be a variable.  As a note, the present user list can change, so if you're iterating through, there is a possibility for same/missed results.	在指定的索引处添加当前在场的用户。索引也可以是变量。请注意，在场用户列表可能会变化，因此在迭代时可能会出现重复或遗漏的结果。
Alerts Widget URL	提醒组件 URL
Allowed values for balance are %variables%, or a number value between 0 and 100 inclusive.	余额的允许值是 %variables%，或是 0 到 100（含）之间的数字值。
Allowed values for gain are %variables%, or a decimal value between 0.0 and 1.0 inclusive.	增益的允许值是 %variables%，或是 0.0 到 1.0（含）之间的小数值。
Allowed values for volume are %variables%, or a decimal value between 0.0 and 1.0 inclusive.	音量的允许值是 %variables%，或是 0.0 到 1.0（含）之间的小数值。
Alpha Access	Alpha 抢先体验
Also a nod to all those supporters past and present who are not listed above	同样感谢所有未在上方列出的过往和现在的支持者
Always Run	始终运行
An up and coming heavy weight	一个崭露头角的重磅新星
Anti-flicker	防闪烁
Any references added to the common references list above will be automatically added to every Execute C# code when it's compiled	添加到上方常用引用列表中的任何引用，都会在编译时自动添加到每个“执行 C# 代码”中
Any values that are left blank, will not be changed	留空的任何值都不会被更改
Append to File	追加到文件
Application Volume	应用音量
As JSON	作为 JSON
Ask for Confirmation on Close	关闭时询问确认
Attempt Auto-Typing	尝试自动输入
Audio Enabled (boolean)	音频已启用（布尔值）
Audio Input Device	音频输入设备
Audio Output Device	音频输出设备
Auto Connect	自动连接
Auto Connect on Startup	启动时自动连接
Auto Monitor	自动监控
Auto Monitor Live Broadcasts	自动监控直播
Auto Open	自动打开
Auto Open Chat on Startup	启动时自动打开聊天
Auto Open Event Feed on Startup	启动时自动打开事件流
Auto Open on Startup	启动时自动打开
Auto Reconnect	自动重连
Auto Reset	自动重置
Auto Reset Cache	自动重置缓存
Auto Start	自动启动
Auto Start Listen	自动开始监听
Auto Start on Startup	启动时自动启动
Auto Type	自动输入
Auto pin message after it is sent and will be pinned for 20 minutes	消息发送后自动置顶，并将置顶 20 分钟
Auto-Type	自动输入
Auto-Type non-JSON Result	自动输入非 JSON 结果
Automatically connect to CrowdControl when Streamer.bot starts up	Streamer.bot 启动时自动连接到 CrowdControl
Automatically connect to Elgato CameraHub when Streamer.bot starts up	Streamer.bot 启动时自动连接到 Elgato CameraHub
Automatically connect to Elgato Stream Deck MCP when Streamer.bot starts up	Streamer.bot 启动时自动连接到 Elgato Stream Deck MCP
Automatically connect to Elgato WaveLink when Streamer.bot starts up	Streamer.bot 启动时自动连接到 Elgato WaveLink
Automatically connect to HypeRate.io when Streamer.bot starts up	Streamer.bot 启动时自动连接到 HypeRate.io
Automatically connect to Lumia Stream when Streamer.bot starts up	Streamer.bot 启动时自动连接到 Lumia Stream
Automatically connect to Pally.gg when Streamer.bot starts up	Streamer.bot 启动时自动连接到 Pally.gg
Automatically connect to Pulsoid when Streamer.bot starts up	Streamer.bot 启动时自动连接到 Pulsoid
Automatically connect to Speaker.bot when Streamer.bot starts up	Streamer.bot 启动时自动连接到 Speaker.bot
Automatically connect to StreamLoots when Streamer.bot starts up	Streamer.bot 启动时自动连接到 StreamLoots
Automatically connect to Streamfog when Streamer.bot starts up	Streamer.bot 启动时自动连接到 Streamfog
Automatically connect to Throwing System when Streamer.bot starts up	Streamer.bot 启动时自动连接到 Throwing System
Automatically connect to TipeeeStream when Streamer.bot starts up	Streamer.bot 启动时自动连接到 TipeeeStream
Automatically connect to VTubeStudio when Streamer.bot starts up	Streamer.bot 启动时自动连接到 VTubeStudio
Automatically connect to VoiceMod when Streamer.bot starts up	Streamer.bot 启动时自动连接到 VoiceMod
Automatically connect to your YouTube Bot account when Streamer.bot starts up	Streamer.bot 启动时自动连接到你的 YouTube 机器人账户
Automatically connect to your YouTube Broadcaster account when Streamer.bot starts up	Streamer.bot 启动时自动连接到你的 YouTube 主播账户
Automatically reconnect to CrowdControl when the connection is terminated	连接中断时自动重新连接到 CrowdControl
Automatically reconnect to Elgato CameraHub when the connection is terminated	连接中断时自动重新连接到 Elgato CameraHub
Automatically reconnect to Elgato Stream Deck MCP when the connection is terminated	连接中断时自动重新连接到 Elgato Stream Deck MCP
Automatically reconnect to Elgato WaveLink when the connection is terminated	连接中断时自动重新连接到 Elgato WaveLink
Automatically reconnect to HypeRate.io when the connection is terminated	连接中断时自动重新连接到 HypeRate.io
Automatically reconnect to Lumia Stream when the connection is terminated	连接中断时自动重新连接到 Lumia Stream
Automatically reconnect to Pally.gg when the connection is terminated	连接中断时自动重新连接到 Pally.gg
Automatically reconnect to Pulsoid when the connection is terminated	连接中断时自动重新连接到 Pulsoid
Automatically reconnect to Speaker.bot when the connection is terminated	连接中断时自动重新连接到 Speaker.bot
Automatically reconnect to StreamLoots when the connection is terminated	连接中断时自动重新连接到 StreamLoots
Automatically reconnect to Streamfog when the connection is terminated	连接中断时自动重新连接到 Streamfog
Automatically reconnect to Throwing System when the connection is terminated	连接中断时自动重新连接到 Throwing System
Automatically reconnect to TipeeeStream when the connection is terminated	连接中断时自动重新连接到 TipeeeStream
Automatically reconnect to VTubeStudio when the connection is terminated	连接中断时自动重新连接到 VTubeStudio
Automatically reconnect to VoiceMod when the connection is terminated	连接中断时自动重新连接到 VoiceMod
Automatically run the Stream Update trigger when connecting to Twitch	连接到 Twitch 时自动运行“流更新”触发器
Automatically start listening for voice commands when Streamer.bot starts	Streamer.bot 启动时自动开始监听语音命令
Automatically start the Process Watcher when Streamer.bot starts up	Streamer.bot 启动时自动启动进程监视器
Automatically start the server when Streamer.bot starts up	Streamer.bot 启动时自动启动服务器
Available Endpoints	可用端点
Available Requests	可用请求
Available Sub-Actions	可用子动作
Available Triggers	可用触发器
Avatar URL	头像 URL
Background Color	背景颜色
Backup Folder	备份文件夹
Backup Now	立即备份
Backup Progress	备份进度
Backup Status	备份状态
Backup Version:	备份版本：
Backups currently available in your cloud storage	你云存储中当前可用的备份
Basic settings related to Streamer.bot	与 Streamer.bot 相关的基本设置
Bits Cost	Bits 费用
Bits Donated	捐赠的 Bits
Bot Account	机器人账户
Bot Account Auto Connect	机器人账户自动连接
Both fields support parsing.  Duration can either be empty, which means the Pinned Message would last until the stream ends, or it must be, or parse to a value between 30 and 1800.	两个字段都支持解析。时长可以为空，表示置顶消息将一直保留到直播结束，也可以是或解析为 30 到 1800 之间的值。
Broadcast Information	直播信息
Broadcaster Account	主播账户
Broadcaster Account Auto Connect	主播账户自动连接
Browse your past videos	浏览你过往的视频
Browser Source Audio Enabled (boolean)	浏览器源音频已启用（布尔值）
Button ID	按键 ID
By clicking "I Agree" below, you are agreeing to YouTube's Terms of Service, Google's Privacy Policy, and Streamer.bot's Terms of Service and Privacy policy as linked below.	点击下方的“我同意”，即表示你同意 YouTube 的服务条款、Google 的隐私政策以及下方链接的 Streamer.bot 服务条款和隐私政策。
By default, timed actions will repeat, you can have them only trigger once, by unticking repeat, and it will trigger after being enabled	默认情况下，定时动作会重复执行；取消勾选“重复”即可让其只触发一次，并且会在启用后触发
C# Compile Settings	C# 编译设置
C# Compiler	C# 编译器
Camera does not support Noise Reduction!	摄像头不支持降噪！
Cancel Login	取消登录
Capture Key	捕获按键
Capture Model Position	捕获模型位置
Case Sensitive	区分大小写
Case Values	大小写值
Category Name	类别名称
Change backup settings, and force backup creation	更改备份设置，并强制创建备份
Change settings.	更改设置。
Changed only Values	仅更改的值
Changing enabled Sub-Actions requires a restart of Streamer.bot	更改已启用的子动作需要重启 Streamer.bot
Changing enabled Triggers requires a restart of Streamer.bot	更改已启用的触发器需要重启 Streamer.bot
Changing the log folder requires a restart of Streamer.bot	更改日志文件夹需要重启 Streamer.bot
Changing these settings requires a restart of Streamer.bot	更改这些设置需要重启 Streamer.bot
Channel Point Rewards	频道积分奖励
Channel Points Per Vote	每次投票的频道积分
Channel Points Per Vote, leave empty or set to 0 to disable	每次投票的频道积分，留空或设为 0 以禁用
Channel Points Spent	已花费的频道积分
Chapter Name	章节名称
Chapter name supports %variables%.	章节名称支持 %variables%。
Chat	聊天
Chat Client	聊天客户端
Chatters will receive a temporary chat badge indicating the option they voted for until the prediction ends.	聊天者将获得一个临时聊天徽章，标明他们所投票的选项，直到预测结束。
Check for Updates	检查更新
Checking this will make your value be auto typed, and has no effect on increment or decrement source	勾选此项后，你的值将被自动输入，对递增或递减源无效
Choices (Minimum of 2, maximum of 5)	选项（最少 2 个，最多 5 个）
Choose a custom default color to use for the Comment Sub-Action	为“评论”子动作选择自定义默认颜色
Choose the color to use when a Sub-Action is disabled	选择子动作禁用时要使用的颜色
Choose what MIDI pages to show	选择要显示的 MIDI 页面
Choose what Server/Client pages to show	选择要显示的服务器/客户端页面
Choose what Voice Control pages to show	选择要显示的语音控制页面
Choose what platforms to show	选择要显示的平台
Choose what services to show	选择要显示的服务
Choose what streaming applications to show	选择要显示的流媒体应用
Clear History	清除历史
Clear Queue	清除队列
Clear User	清除用户
Clear the cache on startup if the time since last startup exceeds the given interval	如果距上次启动的时间超过给定间隔，则在启动时清除缓存
Click the button above to select a category.	点击上面的按钮以选择类别。
Click the button above to select a game, leave it empty to have your game category empty.	点击上面的按钮以选择游戏，留空则游戏类别为空。
Clicking export will export your selected Actions, Queues, Commands, Timed Actions, Websocket Servers and Websocket Clients to your clipboard, and you can share them everywhere.	点击导出会将你选中的动作、队列、命令、定时动作、WebSocket 服务器和 WebSocket 客户端导出到剪贴板，你可以随时随地进行分享。
Clients that are currently connected	当前已连接的客户端
Clip ID	剪辑 ID
Clip Title	剪辑标题
Cloud Backups	云备份
Cloud Backups are a supporter perk, and require you to be subscribed at the	云备份是支持者福利，要求你的订阅达到
Coin Type	硬币类型
Collapse All	全部折叠
Command	命令
Command Type	命令类型
Command(s)	命令
Commands	命令
Commands ({0})	命令（{0}）
Comment Color	评论颜色
Common References	常用引用
Compiling Log	编译日志
Completed At	完成于
Completed Count	完成数量
Confidence Threshold	置信度阈值
Configure Twitch Sub Counter integration settings	配置 Twitch 订阅计数器集成设置
Configure actions, queues and view action history	配置动作、队列并查看动作历史
Configure default options when creating new Actions, Commands and other	创建新的动作、命令等时配置默认选项
Configure options for the Credits service	配置“演职员表”服务的选项
Configure the default audio output device Streamer.bot uses	配置 Streamer.bot 使用的默认音频输出设备
Configure the device to use for speech recognition	配置用于语音识别的设备
Configure the first words cache	配置首个词缓存
Configure third party emote handling, changing these requires a restart	配置第三方表情处理，更改这些需要重启
Configure your streaming application settings	配置你的流媒体应用设置
Configuring Elgato CameraHub	正在配置 Elgato CameraHub
Configuring Elgato WaveLink	正在配置 Elgato WaveLink
Configuring HTTP Server	正在配置 HTTP 服务器
Configuring Twitch	正在配置 Twitch
Configuring Voice Control	正在配置语音控制
Connect a bot account to send messages with a different user	连接一个机器人账户，以使用不同的用户发送消息
Connect your StreamElements account to receive events	连接你的 StreamElements 账户以接收事件
Connect your Streamer.bot account	连接你的 Streamer.bot 账户
Connect your Streamlabs account to receive events	连接你的 Streamlabs 账户以接收事件
Connect your TreatStream account to receive events	连接你的 TreatStream 账户以接收事件
Connect your streaming account for core functionality	连接你的直播账户以使用核心功能
Connected	已连接
Connected Clients	已连接的客户端
Connecting...	正在连接…
Connection Status	连接状态
Cooldown	冷却
Copy All Variable Names	复制所有变量名
Copy All Video Urls to Clipboard	将所有视频 URL 复制到剪贴板
Copy As Text Table	以文本表格复制
Copy Login Link	复制登录链接
Copy all to clipboard	全部复制到剪贴板
Copy and paste your API Key in this field	在此字段中复制并粘贴你的 API 密钥
Copy and paste your Alerts Widget URL in this field	在此字段中复制并粘贴你的提醒组件 URL
Copy and paste your Overlay URL in this field	在此字段中复制并粘贴你的叠加层 URL
Copy and paste your remote key in this field	在此字段中复制并粘贴你的远程密钥
Copy and paste your token in this field	在此字段中复制并粘贴你的令牌
Count	数量
Create Backup	创建备份
Create Cloud Backup	创建云备份
Create Custom Server	创建自定义服务器
Create DonorDrive	创建 DonorDrive
Create File Tail	创建文件尾随
Create File Watcher	创建文件监视器
Create Midi Event	创建 MIDI 事件
Create Reward	创建奖励
Create Timer	创建计时器
Create Websocket Client	创建 WebSocket 客户端
Create a New Poll	创建新投票
Create a backup and upload it to your cloud storage	创建备份并上传到你的云存储
Create folder/file watchers to react to file changes	创建文件夹/文件监视器以响应文件变化
Create your own WebSocket Servers and manage them from within C#	创建你自己的 WebSocket 服务器，并在 C# 中进行管理
Create your own connections to WebSocket Servers and control them from within C#	创建你自己的 WebSocket 服务器连接，并在 C# 中进行控制
Create, edit and remove your output MIDI device associations	创建、编辑和移除你的输出 MIDI 设备关联
Create, edit, and remove Voice Control Commands	创建、编辑和移除语音控制命令
Create, edit, and remove your MIDI Input associations and events	创建、编辑和移除你的 MIDI 输入关联和事件
Created At	创建于
Created At:	创建于：
Created by nate1280	由 nate1280 创建
Created by: nate1280	由 nate1280 创建
Creators and mods can create predictions. Viewers who guess the outcome correctly can win Channel Points. All predictions must follow Twitch's	创作者和版主可以创建预测。猜中结果的观众可以赢得频道积分。所有预测都必须遵守 Twitch 的
Cumulative Sub Range	累计订阅范围
Current Scene	当前场景
Custom Power-Ups	自定义增益
Custom WebSocket Clients	自定义 WebSocket 客户端
Custom WebSocket Servers	自定义 WebSocket 服务器
Custom Webhook	自定义 Webhook
Custom Websocket Clients	自定义 WebSocket 客户端
Custom Websocket Servers	自定义 WebSocket 服务器
Dark Mode	深色模式
Date/Time	日期/时间
Dedicated to the loving memory of my mother.	以此纪念我深爱的母亲。
Default Tags	默认标签
Default Value	默认值
Default settings to apply to new Actions	应用于新动作的默认设置
Default settings to apply to new Commands	应用于新命令的默认设置
Default settings to apply to new Switch Case groupings	应用于新的 Switch Case 分组的默认设置
Defaults to 5 minutes to balance accuracy and performance	默认为 5 分钟，以平衡准确性和性能
Delayed Start	延迟启动
Delete All	全部删除
Delete All Variables	删除所有变量
Delete Filtered Variables	删除已筛选的变量
Destination	目标
Destination Slot	目标插槽
Destination Variable	目标变量
Device Name	设备名称
Disable Capturing of Variable Viewer Window	禁用变量查看器窗口的捕获
Disable not configured rewards	禁用未配置的奖励
Disable the tracking of Actions to reclaim performance	禁用动作跟踪以恢复性能
Discord	Discord
Do not show Streamer.bot's splash screen when starting	启动时不显示 Streamer.bot 的启动画面
Documentation	文档
Don't Show Again	不再显示
Duplicate Sub-Action Location	复制子动作的位置
Duration can contain either a specific value between 5 and 60 (inclusive), or a %variable% that will be parsed.  This is in seconds, and if left blank, the default is 30s.	时长可以是 5 到 60（含）之间的具体值，也可以是被解析的 %variable%。单位为秒，留空时默认为 30 秒。
Duration can either be a number (in minutes between 0 and 129,600), or a %variable% that will be parsed.	时长可以是数字（0 到 129,600 之间的分钟数），也可以是被解析的 %variable%。
Duration can either be a number (in seconds), or a %variable% that will be parsed.	时长可以是数字（秒），也可以是被解析的 %variable%。
Duration support parsing.  Duration can either be empty, which means the Pinned Message would last until the stream ends, or it must be, or parse to a value between 30 and 1800.	时长支持解析。时长可以为空，表示置顶消息将一直保留到直播结束，也可以是或解析为 30 到 1800 之间的值。
Duration, defaults to 60 if empty or unable to parse	时长，留空或无法解析时默认为 60
Dynamic Range	动态范围
Editor Settings	编辑器设置
Elgato CameraHub is Not Connected!	Elgato CameraHub 未连接！
Elgato Stream Deck instances that are currently connected	当前已连接的 Elgato Stream Deck 实例
Elgato StreamDeck MCP is Not Connected!	Elgato StreamDeck MCP 未连接！
Elgato WaveLink is Not Connected!	Elgato WaveLink 未连接！
Emote Handlers	表情处理器
Enable Compression	启用压缩
Enable automatic roll over once the subsction count reaches a set number	当订阅数达到设定数值时启用自动结转
Enable integrations beyond the UI with Streamer.bot's build in WebSocket server.	通过 Streamer.bot 内置的 WebSocket 服务器启用 UI 之外的集成。
Enable or disable the viewers tab to reclaim performance	启用或禁用观众选项卡以恢复性能
Enable the Sub Counter for tracking of subscriptions and rollovers	启用订阅计数器以跟踪订阅和结转
Enabled	已启用
Enabled Sub-Actions	已启用的子动作
Enabled Triggers	已启用的触发器
Enter a unique Action name...	输入唯一的动作名称…
Enter a unique queue name...	输入唯一的队列名称…
Enter the IP address Speaker.bot's WebSocket server is running on, '127.0.0.1'	输入 Speaker.bot WebSocket 服务器运行所在的 IP 地址，例如“127.0.0.1”
Enter the IP address for this server to bind to. For example, '127.0.0.1'	输入此服务器要绑定的 IP 地址。例如“127.0.0.1”
Enter the IP address to connect to. For example, '127.0.0.1'	输入要连接的 IP 地址。例如“127.0.0.1”
Enter the endpoint to listen to for the connection.  Defaults to '/'	输入连接要监听的端点。默认为“/”
Enter the port Speaker.bot's WebSocket server is running on. Defaults to 7580	输入 Speaker.bot WebSocket 服务器运行所在的端口。默认为 7580
Enter the port to use for server connection. Defaults to 4242	输入用于服务器连接的端口。默认为 4242
Enter the port to use for server connection. Defaults to 7474	输入用于服务器连接的端口。默认为 7474
Enter the port to use for server connection. Defaults to 8059	输入用于服务器连接的端口。默认为 8059
Enter the port to use for server connection. Defaults to 8080	输入用于服务器连接的端口。默认为 8080
Enter the port to use for server connection. Defaults to 9652	输入用于服务器连接的端口。默认为 9652
Enter the port to use for the connection. Defaults to 42069	输入用于连接的端口。默认为 42069
Environment Variables	环境变量
Event Feed	事件流
Event Name	事件名称
EventSub Client	EventSub 客户端
Events Client	事件客户端
Events to Record	要记录的事件
Exchange Source	交换来源
Exclude all commands from import	导入时排除所有命令
Exclude all from Import	导入时排除全部
Exclude all timed actions from import	导入时排除所有定时动作
Exclude all websocket clients from import	导入时排除所有 WebSocket 客户端
Exclude all websocket servers from import	导入时排除所有 WebSocket 服务器
Exclude from Action Queue/History	从动作队列/历史中排除
Execute C# Code	执行 C# 代码
Execute C# Code Editor	C# 代码编辑器
Expand All	全部展开
Explore the official documentation for Streamer.bot	浏览 Streamer.bot 官方文档
Export	导出
Export Version	导出版本
Export to Clipboard	导出到剪贴板
Export to File	导出到文件
Expression	表达式
Fade Time	淡入淡出时间
Fallback to Broadcaster	回退到主播
File Path	文件路径
File Tail	文件尾随
File Tails	文件尾随
File to Check if Exists	要检查是否存在的文件
File to Read From	要从中读取的文件
File to Write To	要写入的文件
File/Folder Watcher	文件/文件夹监视器
Filter Type	筛选类型
Filter...	筛选…
Find Refs	查找引用
Finish playing before continuing	先播完再继续
First Words	首个词
Folder containing *.mp3 and *.wav	包含 *.mp3 和 *.wav 的文件夹
Folder mappings for serving local files	用于提供本地文件的文件夹映射
Folder to Check if Exists	要检查是否存在的文件夹
Font Family	字体
Font Size	字号
For readability, consider using camelCasing or PascalCasing.	为便于阅读，请考虑使用驼峰式（camelCase）或帕斯卡式（PascalCase）命名。
Forget	忘记
Forget Account	忘记账户
Forget any saved credentials for Pulsoid	忘记 Pulsoid 的任何已保存凭据
Forget any saved credentials for TipeeeStream	忘记 TipeeeStream 的任何已保存凭据
Forget any saved credentials for VTubeStudio	忘记 VTubeStudio 的任何已保存凭据
Forget this account?	忘记此账户？
Format Document	格式化文档
Found {0} videos	找到 {0} 个视频
GCD	GCD
Gain early access to new features and updates before they are released to the public.	抢先体验尚未公开发布的新功能和更新。
Game Only	仅游戏
General Settings	常规设置
Generate a new Instance Id for this instance of Streamer.bot	为此 Streamer.bot 实例生成新的实例 ID
Gift Bombs	礼物炸弹
Gift Sub Count Range	礼物订阅数量范围
Global Cooldown	全局冷却
Global Variables	全局变量
Grant Type	授权类型
Group	分组
Group Layout	分组布局
Group Name	分组名称
HTTP Server	HTTP 服务器
Handle all things variables	处理所有与变量相关的事务
Has Permission	有权限
Help with Elgato CameraHub	Elgato CameraHub 帮助
Help with Elgato WaveLink	Elgato WaveLink 帮助
Help with HTTP Server	HTTP 服务器帮助
Help with Twitch	Twitch 帮助
Help with Voice Control	语音控制帮助
Help with WebSocket Server	WebSocket 服务器帮助
Hide Not Present	隐藏不存在的
Hide Splash Screen	隐藏启动画面
Higher tiers gives you more storage space to hold more backups.	更高的等级会给你更多的存储空间来保存更多备份。
Home	主页
How long it took for the action to run, this is in milliseconds	动作运行所花费的时间，单位为毫秒
How long viewers have to guess the outcome	观众猜结果的时间
How long viewers have to vote in the poll	观众投票的时间
I Agree	我同意
I also can not forget giving a nod to the following people	我也不会忘记感谢以下人员
I can not foget to thank the following who are on Streamer.bot's staff, providing support in the discord	我不能忘记感谢以下 Streamer.bot 工作人员，他们在 Discord 中提供支持
Icon Path	图标路径
Ideas & Suggestions	想法与建议
If "Destination Variable" is left empty, the value will be stored to global_variableName, or user_username_variablename	如果“目标变量”留空，该值将存储到 global_变量名，或 user_用户名_变量名
If AsJson is checked, the file will try to be loaded as a json object only a simple object will be loaded (for now), if it can not be parsed, the below will be available	如果勾选了 AsJson，文件将尝试作为 JSON 对象加载，目前仅加载简单对象；如果无法解析，则下面内容将可用
If both options are set, then both criteria must be met for the action to occur. The action will only run if Y number have lines have been said, and if X seconds have passed.	如果同时设置两个选项，则必须同时满足两个条件动作才会发生。只有已说够 Y 行，且已过去 X 秒，动作才会运行。
If cancelling a redemption, this will refund the channel points back to the user that redeemed it.	如果取消兑换，这将把频道积分退还给进行兑换的用户。
If there are no matches then it will fall back to the Default Case.	如果没有匹配项，则将回退到默认 Case。
If this is checked, only users in the listed groups will be used, otherwise they will be excluded	如果勾选此项，则只使用所列分组中的用户，否则将排除他们
If timeout is left blank, it defaults to 30 seconds (or 30,000ms)	如果超时留空，则默认为 30 秒（或 30,000 毫秒）
If you are already subscribed, thank you for your support. Make sure you are currently logged into your Streamer.bot account in the bottom-left corner of Streamer.bot. If you are logged in, then make sure you have also linked your	如果你已订阅，感谢你的支持。请确保你已在 Streamer.bot 左下角登录你的 Streamer.bot 账户。如果已登录，请确保你已关联你的
If you enjoy Streamer.bot, please consider supporting nate1280 on Patreon.	如果你喜欢 Streamer.bot，请考虑在 Patreon 上支持 nate1280。
Ignore Aliases	忽略别名
Ignore Bot Messages	忽略机器人消息
Ignore Case	忽略大小写
Ignore Channel	忽略频道
Ignore Data	忽略数据
Ignore Extensions	忽略扩展名
Ignore Internal Messages	忽略内部消息
Ignore NoteOff	忽略 NoteOff
Import	导入
Import String	导入字符串
