# english	ko-KR
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - 변경 유형(변경, 생성, 삭제)
%counter% - Global usage counter for reward	%counter% - 보상의 전역 사용 카운터
%empty% - If the file is now empty	%empty% - 파일이 비어 있는지 여부
%fileName% - The file name with extension	%fileName% - 확장자를 포함한 파일 이름
%fullPath% - The full path to the file	%fullPath% - 파일의 전체 경로
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - 파일의 특정 줄(0 기반 인덱스, 0이 첫 줄)
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - URL 쿼리에 사용하기 위해 이스케이프된 줄
%lines% - The number of lines in the file	%lines% - 파일의 줄 수
%randomUser0% - Random active user's display name	%randomUser0% - 무작위 활성 사용자의 표시 이름
%randomUser1% - Random active user's display name	%randomUser1% - 무작위 활성 사용자의 표시 이름
%randomUserName0% - Random active user's login name	%randomUserName0% - 무작위 활성 사용자의 로그인 이름
%randomUserName1% - Random active user's login name	%randomUserName1% - 무작위 활성 사용자의 로그인 이름
%rawInput% - UNSANITIZED input from redemption	%rawInput% - 리뎀션에서 나온 비정화 입력
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - 타임아웃된 사용자의 표시 이름
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - 타임아웃된 사용자의 로그인 이름
%user% - Display name of User who used reward	%user% - 보상을 사용한 사용자의 표시 이름
%userCounter% - Usage counter for user who used reward	%userCounter% - 보상을 사용한 사용자의 사용 카운터
%userName% - Login of user who used reward	%userName% - 보상을 사용한 사용자의 로그인
Add a Deck!	덱 추가!
Add a Group!	그룹 추가!
Add a Kick Reward!	Kick 보상 추가!
Add a Timer!	타이머 추가!
Add a Twitch Reward!	Twitch 보상 추가!
Add a Voice Control Command!	음성 제어 명령 추가!
Add a random number into arguments, use for percentages, or anything else.	인수에 난수를 추가합니다. 백분율이나 기타 용도로 사용합니다.
Add an Action in a Group!	그룹에 액션 추가!
Add common C# reference	일반 C# 참조 추가
Add reference from file...	파일에서 참조 추가...
Add the specified number of random users to the arguments, this will provide a unique number of users filterd by their present status and that have been seen by Streamer.bot.	지정된 수의 무작위 사용자를 인수에 추가합니다. 현재 상태와 Streamer.bot에서 본 적이 있는 사용자로 필터링된 고유한 사용자 수를 제공합니다.
Add your HypeRate ID (CaSe SenSITiVe!!!!)	HypeRate ID를 입력하세요(대소문자 구분!!!)
Add your SubActions to either of these groups to perform actions based on the result of this expression.	이 식의 결과에 따라 작업을 수행하려면 하위 액션을 이 그룹 중 하나에 추가하세요.
Add, edit and delete user groups	사용자 그룹 추가, 편집, 삭제
Add, edit and manage Streamlabs Desktop instances	Streamlabs Desktop 인스턴스 추가, 편집, 관리
Adding multiple Get Quotes will overwrite each previous one	Get Quotes를 여러 개 추가하면 이전 항목이 각각 덮어써집니다
Adds the present user at the index specified.  Index can also be a variable.  As a note, the present user list can change, so if you're iterating through, there is a possibility for same/missed results.	지정된 인덱스에 현재 사용자를 추가합니다. 인덱스는 변수일 수도 있습니다. 현재 사용자 목록은 변경될 수 있으므로 반복 중에 중복되거나 누락된 결과가 발생할 수 있습니다.
Alerts Widget URL	알림 위젯 URL
Allowed values for balance are %variables%, or a number value between 0 and 100 inclusive.	balance에 허용되는 값은 %variables% 또는 0~100(포함) 사이의 숫자입니다.
Allowed values for gain are %variables%, or a decimal value between 0.0 and 1.0 inclusive.	gain에 허용되는 값은 %variables% 또는 0.0~1.0(포함) 사이의 소수 값입니다.
Allowed values for volume are %variables%, or a decimal value between 0.0 and 1.0 inclusive.	volume에 허용되는 값은 %variables% 또는 0.0~1.0(포함) 사이의 소수 값입니다.
Alpha Access	Alpha Access
Also a nod to all those supporters past and present who are not listed above	위에 나열되지 않은 과거와 현재의 모든 서포터에게도 감사를 전합니다
Always Run	항상 실행
An up and coming heavy weight	주목받는 신예 중량급
Anti-flicker	안티플리커
Any references added to the common references list above will be automatically added to every Execute C# code when it's compiled	위의 공통 참조 목록에 추가된 참조는 컴파일 시 모든 Execute C# code에 자동으로 추가됩니다
Any values that are left blank, will not be changed	비워 둔 값은 변경되지 않습니다
Append to File	파일에 추가
Application Volume	앱 볼륨
As JSON	JSON으로
Ask for Confirmation on Close	닫을 때 확인 요청
Attempt Auto-Typing	자동 입력 시도
Audio Enabled (boolean)	오디오 활성화(부울)
Audio Input Device	오디오 입력 장치
Audio Output Device	오디오 출력 장치
Auto Connect	자동 연결
Auto Connect on Startup	시작 시 자동 연결
Auto Monitor	자동 모니터링
Auto Monitor Live Broadcasts	라이브 방송 자동 모니터링
Auto Open	자동 열기
Auto Open Chat on Startup	시작 시 채팅 자동 열기
Auto Open Event Feed on Startup	시작 시 이벤트 피드 자동 열기
Auto Open on Startup	시작 시 자동 열기
Auto Reconnect	자동 재연결
Auto Reset	자동 초기화
Auto Reset Cache	캐시 자동 초기화
Auto Start	자동 시작
Auto Start Listen	듣기 자동 시작
Auto Start on Startup	시작 시 자동 시작
Auto Type	자동 입력
Auto pin message after it is sent and will be pinned for 20 minutes	메시지 전송 후 자동으로 고정되며 20분간 유지됩니다
Auto-Type	자동 입력
Auto-Type non-JSON Result	비 JSON 결과 자동 입력
Automatically connect to CrowdControl when Streamer.bot starts up	Streamer.bot 시작 시 CrowdControl에 자동 연결
Automatically connect to Elgato CameraHub when Streamer.bot starts up	Streamer.bot 시작 시 Elgato CameraHub에 자동 연결
Automatically connect to Elgato Stream Deck MCP when Streamer.bot starts up	Streamer.bot 시작 시 Elgato Stream Deck MCP에 자동 연결
Automatically connect to Elgato WaveLink when Streamer.bot starts up	Streamer.bot 시작 시 Elgato WaveLink에 자동 연결
Automatically connect to HypeRate.io when Streamer.bot starts up	Streamer.bot 시작 시 HypeRate.io에 자동 연결
Automatically connect to Lumia Stream when Streamer.bot starts up	Streamer.bot 시작 시 Lumia Stream에 자동 연결
Automatically connect to Pally.gg when Streamer.bot starts up	Streamer.bot 시작 시 Pally.gg에 자동 연결
Automatically connect to Pulsoid when Streamer.bot starts up	Streamer.bot 시작 시 Pulsoid에 자동 연결
Automatically connect to Speaker.bot when Streamer.bot starts up	Streamer.bot 시작 시 Speaker.bot에 자동 연결
Automatically connect to StreamLoots when Streamer.bot starts up	Streamer.bot 시작 시 StreamLoots에 자동 연결
Automatically connect to Streamfog when Streamer.bot starts up	Streamer.bot 시작 시 Streamfog에 자동 연결
Automatically connect to Throwing System when Streamer.bot starts up	Streamer.bot 시작 시 Throwing System에 자동 연결
Automatically connect to TipeeeStream when Streamer.bot starts up	Streamer.bot 시작 시 TipeeeStream에 자동 연결
Automatically connect to VTubeStudio when Streamer.bot starts up	Streamer.bot 시작 시 VTubeStudio에 자동 연결
Automatically connect to VoiceMod when Streamer.bot starts up	Streamer.bot 시작 시 VoiceMod에 자동 연결
Automatically connect to your YouTube Bot account when Streamer.bot starts up	Streamer.bot 시작 시 YouTube Bot 계정에 자동 연결
Automatically connect to your YouTube Broadcaster account when Streamer.bot starts up	Streamer.bot 시작 시 YouTube Broadcaster 계정에 자동 연결
Automatically reconnect to CrowdControl when the connection is terminated	연결이 종료되면 CrowdControl에 자동 재연결
Automatically reconnect to Elgato CameraHub when the connection is terminated	연결이 종료되면 Elgato CameraHub에 자동 재연결
Automatically reconnect to Elgato Stream Deck MCP when the connection is terminated	연결이 종료되면 Elgato Stream Deck MCP에 자동 재연결
Automatically reconnect to Elgato WaveLink when the connection is terminated	연결이 종료되면 Elgato WaveLink에 자동 재연결
Automatically reconnect to HypeRate.io when the connection is terminated	연결이 종료되면 HypeRate.io에 자동 재연결
Automatically reconnect to Lumia Stream when the connection is terminated	연결이 종료되면 Lumia Stream에 자동 재연결
Automatically reconnect to Pally.gg when the connection is terminated	연결이 종료되면 Pally.gg에 자동 재연결
Automatically reconnect to Pulsoid when the connection is terminated	연결이 종료되면 Pulsoid에 자동 재연결
Automatically reconnect to Speaker.bot when the connection is terminated	연결이 종료되면 Speaker.bot에 자동 재연결
Automatically reconnect to StreamLoots when the connection is terminated	연결이 종료되면 StreamLoots에 자동 재연결
Automatically reconnect to Streamfog when the connection is terminated	연결이 종료되면 Streamfog에 자동 재연결
Automatically reconnect to Throwing System when the connection is terminated	연결이 종료되면 Throwing System에 자동 재연결
Automatically reconnect to TipeeeStream when the connection is terminated	연결이 종료되면 TipeeeStream에 자동 재연결
Automatically reconnect to VTubeStudio when the connection is terminated	연결이 종료되면 VTubeStudio에 자동 재연결
Automatically reconnect to VoiceMod when the connection is terminated	연결이 종료되면 VoiceMod에 자동 재연결
Automatically run the Stream Update trigger when connecting to Twitch	Twitch에 연결할 때 Stream Update 트리거를 자동 실행
Automatically start listening for voice commands when Streamer.bot starts	Streamer.bot 시작 시 음성 명령 듣기 자동 시작
Automatically start the Process Watcher when Streamer.bot starts up	Streamer.bot 시작 시 프로세스 감시기 자동 시작
Automatically start the server when Streamer.bot starts up	Streamer.bot 시작 시 서버 자동 시작
Available Endpoints	사용 가능한 엔드포인트
Available Requests	사용 가능한 요청
Available Sub-Actions	사용 가능한 하위 액션
Available Triggers	사용 가능한 트리거
Avatar URL	아바타 URL
Background Color	배경색
Backup Folder	백업 폴더
Backup Now	지금 백업
Backup Progress	백업 진행률
Backup Status	백업 상태
Backup Version:	백업 버전:
Backups	백업
Backups currently available in your cloud storage	클라우드 저장소에서 현재 사용 가능한 백업
Basic settings related to Streamer.bot	Streamer.bot 관련 기본 설정
Bits Cost	Bits 비용
Bits Donated	기부된 Bits
Bot Account	봇 계정
Bot Account Auto Connect	봇 계정 자동 연결
Both fields support parsing.  Duration can either be empty, which means the Pinned Message would last until the stream ends, or it must be, or parse to a value between 30 and 1800.	두 필드 모두 구문 분석을 지원합니다. Duration은 비워두거나(고정 메시지가 방송 종료까지 유지됨), 30~1800 사이의 값으로 설정 또는 구문 분석되어야 합니다.
Broadcast Information	방송 정보
Broadcaster Account	브로드캐스터 계정
Broadcaster Account Auto Connect	브로드캐스터 계정 자동 연결
Browse your past videos	과거 동영상 찾아보기
Browser Source Audio Enabled (boolean)	브라우저 소스 오디오 활성화(부울)
Button ID	버튼 ID
By clicking "I Agree" below, you are agreeing to YouTube's Terms of Service, Google's Privacy Policy, and Streamer.bot's Terms of Service and Privacy policy as linked below.	아래의 "동의합니다"를 클릭하면 YouTube 서비스 약관, Google 개인정보 보호정책, Streamer.bot 서비스 약관 및 개인정보 보호정책에 동의하게 됩니다.
By default, timed actions will repeat, you can have them only trigger once, by unticking repeat, and it will trigger after being enabled	기본적으로 타이머 액션은 반복됩니다. 반복을 해제하면 한 번만 트리거되며, 활성화된 후에 트리거됩니다
C# Compile Settings	C# 컴파일 설정
C# Compiler	C# 컴파일러
Camera does not support Noise Reduction!	카메라가 노이즈 감소를 지원하지 않습니다!
Cancel Login	로그인 취소
Capture Key	키 캡처
Capture Model Position	모델 위치 캡처
Case Sensitive	대소문자 구분
Case Values	케이스 값
Category Name	카테고리 이름
Change VoiceMod settings on the fly, or voices	VoiceMod 설정 또는 음성을 즉시 변경
Change backup settings, and force backup creation	백업 설정을 변경하고 백업 생성을 강제
Change settings.	설정을 변경합니다.
Changed only Values	값만 변경
Changing enabled Sub-Actions requires a restart of Streamer.bot	활성화된 하위 액션 변경에는 Streamer.bot 재시작이 필요합니다
Changing enabled Triggers requires a restart of Streamer.bot	활성화된 트리거 변경에는 Streamer.bot 재시작이 필요합니다
Changing the log folder requires a restart of Streamer.bot	로그 폴더 변경에는 Streamer.bot 재시작이 필요합니다
Changing these settings requires a restart of Streamer.bot	이러한 설정 변경에는 Streamer.bot 재시작이 필요합니다
Channel Point Rewards	채널 포인트 보상
Channel Points Per Vote	투표당 채널 포인트
Channel Points Per Vote, leave empty or set to 0 to disable	투표당 채널 포인트, 비워 두거나 0으로 설정하면 비활성화
Channel Points Spent	사용된 채널 포인트
Chapter Name	챕터 이름
Chapter name supports %variables%.	챕터 이름은 %variables%를 지원합니다.
Chat	채팅
Chat Client	채팅 클라이언트
Chatters will receive a temporary chat badge indicating the option they voted for until the prediction ends.	채팅 참여자는 예측이 끝날 때까지 자신이 투표한 옵션을 나타내는 임시 채팅 배지를 받습니다.
Check for Updates	업데이트 확인
Checking this will make your value be auto typed, and has no effect on increment or decrement source	이것을 체크하면 값이 자동 입력되며 증가/감소 소스에는 영향을 미치지 않습니다
Choices (Minimum of 2, maximum of 5)	선택지(최소 2, 최대 5)
Choose a custom default color to use for the Comment Sub-Action	Comment 하위 액션에 사용할 사용자 지정 기본 색상을 선택
Choose the color to use when a Sub-Action is disabled	하위 액션이 비활성화되었을 때 사용할 색상을 선택
Choose what MIDI pages to show	표시할 MIDI 페이지 선택
Choose what Server/Client pages to show	표시할 서버/클라이언트 페이지 선택
Choose what Voice Control pages to show	표시할 음성 제어 페이지 선택
Choose what platforms to show	표시할 플랫폼 선택
Choose what services to show	표시할 서비스 선택
Choose what streaming applications to show	표시할 스트리밍 앱 선택
Clear History	기록 지우기
Clear Queue	큐 지우기
Clear User	사용자 지우기
Clear the cache on startup if the time since last startup exceeds the given interval	마지막 시작 이후 경과 시간이 지정된 간격을 초과하면 시작 시 캐시를 지웁니다
Click the button above to select a category.	위의 버튼을 클릭하여 카테고리를 선택하세요.
Click the button above to select a game, leave it empty to have your game category empty.	위의 버튼을 클릭하여 게임을 선택하세요. 비워 두면 게임 카테고리가 비게 됩니다.
Clicking export will export your selected Actions, Queues, Commands, Timed Actions, Websocket Servers and Websocket Clients to your clipboard, and you can share them everywhere.	내보내기를 클릭하면 선택한 액션, 큐, 명령, 타이머 액션, WebSocket 서버 및 클라이언트가 클립보드로 내보내져 어디서나 공유할 수 있습니다.
Clients that are currently connected	현재 연결된 클라이언트
Clip ID	클립 ID
Clip Title	클립 제목
Cloud Backups	클라우드 백업
Cloud Backups are a supporter perk, and require you to be subscribed at the	클라우드 백업은 서포터 특전이며, 다음에서 구독해야 합니다:
Coin Type	코인 유형
Collapse All	모두 접기
Command	명령
Command Type	명령 유형
Command(s)	명령
Commands	명령
Commands ({0})	명령({0})
Comment Color	댓글 색상
Common References	공통 참조
Compiling Log	컴파일 로그
Completed At	완료 시각
Completed Count	완료 수
Confidence Threshold	신뢰도 임계값
Configure Twitch Sub Counter integration settings	Twitch 구독 카운터 통합 설정 구성
Configure actions, queues and view action history	액션, 큐를 구성하고 액션 기록 보기
Configure default options when creating new Actions, Commands and other	새 액션, 명령 등을 만들 때 기본 옵션 구성
Configure options for the Credits service	Credits 서비스 옵션 구성
Configure the default audio output device Streamer.bot uses	Streamer.bot이 사용하는 기본 오디오 출력 장치 구성
Configure the device to use for speech recognition	음성 인식에 사용할 장치 구성
Configure the first words cache	첫 단어 캐시 구성
Configure third party emote handling, changing these requires a restart	타사 이모티콘 처리 구성, 변경에는 재시작 필요
Configure your streaming application settings	스트리밍 앱 설정 구성
Configuring Elgato CameraHub	Elgato CameraHub 구성 중
Configuring Elgato WaveLink	Elgato WaveLink 구성 중
Configuring HTTP Server	HTTP 서버 구성 중
Configuring Twitch	Twitch 구성 중
Configuring Voice Control	음성 제어 구성 중
Connect a bot account to send messages with a different user	다른 사용자로 메시지를 보내려면 봇 계정을 연결하세요
Connect to enable Ko-fi, Patreon, FourthWall and more!	연결하여 Ko-fi, Patreon, FourthWall 등을 활성화하세요!
Connect your Stream Deck for even more power!	Stream Deck을 연결하여 더욱 강력하게!
Connect your StreamElements account to receive events	이벤트를 받으려면 StreamElements 계정을 연결하세요
Connect your Streamer.bot account	Streamer.bot 계정 연결
Connect your Streamlabs account to receive events	이벤트를 받으려면 Streamlabs 계정을 연결하세요
Connect your TreatStream account to receive events	이벤트를 받으려면 TreatStream 계정을 연결하세요
Connect your streaming account for core functionality	핵심 기능을 위해 스트리밍 계정을 연결하세요
Connected	연결됨
Connected Clients	연결된 클라이언트
Connecting...	연결 중...
Connection Status	연결 상태
Control your Elgato Camera or Prompter.	Elgato 카메라 또는 프롬프터를 제어하세요.
Control your Elgato Microphone.	Elgato 마이크를 제어하세요.
Control your lights through LumiaStream, and receive events.	LumiaStream을 통해 조명을 제어하고 이벤트를 받으세요.
Cooldown	쿨다운
Copy All Variable Names	모든 변수 이름 복사
Copy All Video Urls to Clipboard	모든 동영상 URL을 클립보드에 복사
Copy As Text Table	텍스트 표로 복사
Copy Login Link	로그인 링크 복사
Copy all to clipboard	모두 클립보드에 복사
Copy and paste your API Key in this field	이 필드에 API 키를 복사하여 붙여넣으세요
Copy and paste your Alerts Widget URL in this field	이 필드에 알림 위젯 URL을 복사하여 붙여넣으세요
Copy and paste your Overlay URL in this field	이 필드에 오버레이 URL을 복사하여 붙여넣으세요
Copy and paste your remote key in this field	이 필드에 원격 키를 복사하여 붙여넣으세요
Copy and paste your token in this field	이 필드에 토큰을 복사하여 붙여넣으세요
Count	수
Create Backup	백업 만들기
Create Cloud Backup	클라우드 백업 만들기
Create Custom Server	사용자 지정 서버 만들기
Create DonorDrive	DonorDrive 만들기
Create File Tail	파일 테일 만들기
Create File Watcher	파일 감시자 만들기
Create Midi Event	MIDI 이벤트 만들기
Create Reward	보상 만들기
Create Timer	타이머 만들기
Create Websocket Client	WebSocket 클라이언트 만들기
Create a New Poll	새 투표 만들기
Create a backup and upload it to your cloud storage	백업을 만들어 클라우드 저장소에 업로드
Create folder/file watchers to react to file changes	파일 변경에 반응하는 폴더/파일 감시자 만들기
Create your own WebSocket Servers and manage them from within C#	자체 WebSocket 서버를 만들고 C# 내에서 관리
Create your own connections to WebSocket Servers and control them from within C#	WebSocket 서버에 대한 자체 연결을 만들고 C# 내에서 제어
Create, edit and remove your output MIDI device associations	출력 MIDI 장치 연결 생성, 편집, 제거
Create, edit, and remove Voice Control Commands	음성 제어 명령 생성, 편집, 제거
Create, edit, and remove your MIDI Input associations and events	MIDI 입력 연결 및 이벤트 생성, 편집, 제거
Created At	생성 시각
Created At:	생성 시각:
Created by nate1280	nate1280이 만듦
Created by: nate1280	만든 사람: nate1280
Creators and mods can create predictions. Viewers who guess the outcome correctly can win Channel Points. All predictions must follow Twitch's	크리에이터와 모드는 예측을 만들 수 있습니다. 결과를 올바르게 맞힌 시청자는 채널 포인트를 얻을 수 있습니다. 모든 예측은 Twitch 규칙을 따라야 합니다:
Cumulative Sub Range	누적 구독 범위
Current Scene	현재 장면
Custom Power-Ups	사용자 지정 파워업
Custom WebSocket Clients	사용자 지정 WebSocket 클라이언트
Custom WebSocket Servers	사용자 지정 WebSocket 서버
Custom Webhook	사용자 지정 Webhook
Custom Websocket Clients	사용자 지정 WebSocket 클라이언트
Custom Websocket Servers	사용자 지정 WebSocket 서버
Dark Mode	다크 모드
Date/Time	날짜/시간
Dedicated to the loving memory of my mother.	사랑하는 어머니의 추억에 바칩니다.
Default Tags	기본 태그
Default Value	기본값
Default settings to apply to new Actions	새 액션에 적용할 기본 설정
Default settings to apply to new Commands	새 명령에 적용할 기본 설정
Default settings to apply to new Switch Case groupings	새 Switch Case 그룹에 적용할 기본 설정
Defaults	기본값
Defaults to 5 minutes to balance accuracy and performance	정확성과 성능의 균형을 위해 기본값은 5분
Delayed Start	지연 시작
Delete All	모두 삭제
Delete All Variables	모든 변수 삭제
Delete Filtered Variables	필터링된 변수 삭제
Destination	대상
Destination Slot	대상 슬롯
Destination Variable	대상 변수
Device Name	장치 이름
Disable Capturing of Variable Viewer Window	변수 뷰어 창 캡처 비활성화
Disable not configured rewards	구성되지 않은 보상 비활성화
Disable the tracking of Actions to reclaim performance	성능을 회복하려면 액션 추적 비활성화
Discord	Discord
Do not show Streamer.bot's splash screen when starting	시작 시 Streamer.bot 스플래시 화면 표시 안 함
Documentation	문서
Don't Show Again	다시 표시 안 함
Duplicate Sub-Action Location	하위 액션 복제 위치
Duration can contain either a specific value between 5 and 60 (inclusive), or a %variable% that will be parsed.  This is in seconds, and if left blank, the default is 30s.	Duration에는 5~60(포함) 사이의 특정 값 또는 구문 분석되는 %variable%를 지정할 수 있습니다. 단위는 초이며, 비워 두면 기본값은 30초입니다.
Duration can either be a number (in minutes between 0 and 129,600), or a %variable% that will be parsed.	Duration에는 숫자(0~129,600분) 또는 구문 분석되는 %variable%를 지정할 수 있습니다.
Duration can either be a number (in seconds), or a %variable% that will be parsed.	Duration에는 숫자(초) 또는 구문 분석되는 %variable%를 지정할 수 있습니다.
Duration support parsing.  Duration can either be empty, which means the Pinned Message would last until the stream ends, or it must be, or parse to a value between 30 and 1800.	Duration은 구문 분석을 지원합니다. 비워 두거나(고정 메시지가 방송 종료까지 유지됨), 30~1800 사이의 값으로 설정 또는 구문 분석되어야 합니다.
Duration, defaults to 60 if empty or unable to parse	Duration, 비어 있거나 구문 분석할 수 없으면 기본값 60
Dynamic Range	다이내믹 레인지
Editor Settings	편집기 설정
Elgato CameraHub is Not Connected!	Elgato CameraHub가 연결되지 않았습니다!
Elgato Stream Deck instances that are currently connected	현재 연결된 Elgato Stream Deck 인스턴스
Elgato StreamDeck MCP is Not Connected!	Elgato StreamDeck MCP가 연결되지 않았습니다!
Elgato WaveLink is Not Connected!	Elgato WaveLink가 연결되지 않았습니다!
Emote Handlers	이모티콘 처리기
Enable Compression	압축 활성화
Enable automatic roll over once the subsction count reaches a set number	구독 수가 설정된 숫자에 도달하면 자동 롤오버 활성화
Enable integrations beyond the UI with Streamer.bot's build in WebSocket server.	Streamer.bot에 내장된 WebSocket 서버로 UI 외부 통합을 활성화하세요.
Enable or disable the viewers tab to reclaim performance	성능을 회복하려면 뷰어 탭을 활성화/비활성화
Enable receving events from StreamElements.	StreamElements에서 이벤트 수신을 활성화하세요.
Enable receving events from Streamlabs.	Streamlabs에서 이벤트 수신을 활성화하세요.
Enable the Sub Counter for tracking of subscriptions and rollovers	구독 및 롤오버 추적을 위해 구독 카운터 활성화
Enabled	활성화됨
Enabled Sub-Actions	활성화된 하위 액션
Enabled Triggers	활성화된 트리거
Enter a unique Action name...	고유한 액션 이름 입력...
Enter a unique queue name...	고유한 큐 이름 입력...
Enter the IP address Speaker.bot's WebSocket server is running on, '127.0.0.1'	Speaker.bot의 WebSocket 서버가 실행 중인 IP 주소를 입력하세요. 예: '127.0.0.1'
Enter the IP address for this server to bind to. For example, '127.0.0.1'	이 서버가 바인딩할 IP 주소를 입력하세요. 예: '127.0.0.1'
Enter the IP address to connect to. For example, '127.0.0.1'	연결할 IP 주소를 입력하세요. 예: '127.0.0.1'
Enter the endpoint to listen to for the connection.  Defaults to '/'	연결을 위해 들을 엔드포인트를 입력하세요. 기본값은 '/'
Enter the port Speaker.bot's WebSocket server is running on. Defaults to 7580	Speaker.bot의 WebSocket 서버가 실행 중인 포트를 입력하세요. 기본값 7580
Enter the port to use for server connection. Defaults to 4242	서버 연결에 사용할 포트를 입력하세요. 기본값 4242
Enter the port to use for server connection. Defaults to 7474	서버 연결에 사용할 포트를 입력하세요. 기본값 7474
Enter the port to use for server connection. Defaults to 8059	서버 연결에 사용할 포트를 입력하세요. 기본값 8059
Enter the port to use for server connection. Defaults to 8080	서버 연결에 사용할 포트를 입력하세요. 기본값 8080
Enter the port to use for server connection. Defaults to 9652	서버 연결에 사용할 포트를 입력하세요. 기본값 9652
Enter the port to use for the connection. Defaults to 42069	연결에 사용할 포트를 입력하세요. 기본값 42069
Environment Variables	환경 변수
Event Feed	이벤트 피드
Event Name	이벤트 이름
EventSub Client	EventSub 클라이언트
Events Client	이벤트 클라이언트
Events to Record	기록할 이벤트
Exchange Source	소스 교환
Exclude all commands from import	가져오기에서 모든 명령 제외
Exclude all from Import	가져오기에서 모두 제외
Exclude all timed actions from import	가져오기에서 모든 타이머 액션 제외
Exclude all websocket clients from import	가져오기에서 모든 WebSocket 클라이언트 제외
Exclude all websocket servers from import	가져오기에서 모든 WebSocket 서버 제외
Exclude from Action Queue/History	액션 큐/기록에서 제외
Execute C# Code	C# 코드 실행
Execute C# Code Editor	C# 코드 편집기 실행
Expand All	모두 펼치기
Explore the official documentation for Streamer.bot	Streamer.bot 공식 문서 살펴보기
Export	내보내기
